Frequency (Hz),Magnitude (dB),Phase (°)
37506.233381,60.514069092,-46.189795495
40328.178031,60.476937413,-49.800103416
43362.443964,60.456793064,-54.045275479
46625.006097,60.472768646,-58.155935367
50133.041286,60.389767654,-63.000872563
53905.018765,60.38234314,-68.230248096
57960.797381,60.319542367,-74.034108165
62321.730148,60.174126216,-80.353558478
67010.776664,60.053911874,-87.663791756
72052.623996,59.851149036,-95.385776816
77473.816648,59.519511631,-104.22714287
83302.896316,59.131296155,-113.51292474
89570.552153,58.59725924,-123.52745996
96309.782347,57.813783598,-133.66988192
103556.06785,56.857665769,-144.18798281
111347.55916,55.749891975,-154.71289838
119725.27722,54.392565712,-164.27346057
128733.32936,52.953394967,-173.85472985
138419.14148,51.360552715,177.33440636
148833.70782,49.677327357,169.07412267
160031.85937,48.01454343,161.90303759
172072.55258,46.18140584,155.18043552
185019.17972,44.405271383,148.97305405
198939.90269,42.561808725,143.1372194
213908.01181,40.703700282,137.56778694
230002.31175,38.89932305,132.73326675
247307.53637,37.042335199,127.6438761
265914.79485,35.148150851,123.48961374
285922.05138,33.287777407,119.30870371
307434.6409,31.40212058,115.38317273
330565.82369,29.537251956,111.32592689
355437.38166,27.67471434,107.28943367
382180.2595,25.757804442,103.71860529
410935.25411,23.918412699,100.21205225
441853.75584,22.044738722,96.512060922
475098.54558,20.152798975,93.163093937
510844.65171,18.259107833,90.036429851
549280.27165,16.397977858,85.029332047
590607.76269,14.454756546,82.651208835
635044.70733,12.663781831,78.037371289
682825.05883,10.698856133,73.437348676
734200.37296,8.6460020502,71.099190917
789441.13237,6.6713232588,69.244861814
848838.17065,5.2024894182,63.170629327
912704.20354,3.0292956929,59.098256932
981375.47527,1.4947993211,53.598811271
1055213.5289,-0.57786974253,43.480226847
1134607.1098,-2.7336234714,31.378692935
1219974.2121,-3.8602150943,37.800036163
1311764.2798,-7.1546836096,33.805961454
1410460.5726,-9.6224258381,14.003551027
1516582.7104,-13.582780447,21.449121462
1630689.409,-15.538194316,-6.7493589829
1753381.4214,-13.631226572,15.848685446
1885304.7013,-15.518099974,-9.1773483447
2027153.803,-16.181290331,-0.094165249274
2179675.5391,-16.897819143,-40.669911498
2343672.9116,-21.81512998,-52.014840418
2520009.3399,-18.848594456,-23.44524194
2709613.2066,-18.54605995,-51.425687614
2913482.7452,-21.539064614,-7.4333672249
3132691.2955,-21.909731921,-49.604128368
3368392.9548,-21.850331126,35.066240274
3621828.6539,-30.050405937,-79.80847403
3894332.6905,-36.958735999,-105.51641935
4187339.7539,-24.00408465,-120.0709704
4502392.4785,-17.622427778,-126.95054258
4841149.5655,-17.423564684,-65.008707596
5205394.5159,-18.389351411,-44.872407976
5597045.0199,-28.754857434,-66.816644852
6018163.0535,-37.49755898,-147.48136987
6470965.7346,-25.902692642,159.5161801
6957836.9955,-29.291535381,134.61588583
7481340.1339,-25.170985302,75.770029282
8044231.3086,-27.546933674,-122.32606077
8649474.0498,-20.427515016,-139.65176509
9300254.862,-22.066094413,150.92524579
10000000.0,-22.645663634,51.198804155
5.0,47.340620945,-159.60924692
5.376197,48.847685819,-169.24266619
5.780698,50.23616501,-179.14292874
6.215634,51.399950671,171.48927838
6.683295,52.465069951,162.33840115
7.186141,53.469966475,152.70859089
7.726822,54.295947832,143.97734124
8.308183,55.069758516,135.18892469
8.933285,55.731627676,126.95861671
9.60542,56.310422221,119.13360889
10.328125,56.827803284,111.60259663
11.105207,57.267590811,104.59695683
11.940755,57.684000139,97.780563897
12.83917,58.000720755,91.416917345
13.805181,58.316546274,85.671236239
14.843874,58.583507884,80.029392495
15.960717,58.812943659,74.679123092
17.161591,59.031148323,69.838230014
18.452818,59.214314387,65.202034912
19.841196,59.381148625,60.866799766
21.334035,59.524023144,56.678883188
22.939194,59.648552243,52.942721296
24.665124,59.756943553,49.414941846
26.520912,59.830987248,45.957155507
28.516328,59.92630777,42.736343596
30.661878,60.011305218,39.918409073
32.968858,60.0576386,37.259909409
35.449413,60.113857682,34.609526811
38.116604,60.170443829,32.194732888
40.984473,60.219268852,29.966539416
44.068118,60.254953467,28.159588785
47.383775,60.313888989,26.105984855
50.948899,60.290935946,24.478189001
54.782261,60.386968625,22.888689484
58.904043,60.319120972,21.138618452
63.335945,60.394007243,19.836790333
68.1013,60.37903794,17.864033213
73.225198,60.403462074,16.541969443
78.734614,60.413167481,15.769179985
84.658555,60.432334535,14.419711322
91.02821,60.47239078,13.326588217
97.877114,60.448218416,12.237088399
105.241324,60.483555828,11.634123599
113.159613,60.473461192,10.644671655
121.673669,60.467415546,10.032894203
130.828317,60.505924849,9.2499009148
140.671754,60.521303666,8.3489280012
151.255806,60.53659996,7.8456695767
162.636194,60.52839425,7.2470892556
174.872836,60.488266237,6.7324198249
188.030155,60.491356631,6.1876843665
202.177421,60.511369083,5.2576896316
217.389119,60.517396864,4.838483329
233.745336,60.489205453,4.3869405347
251.332183,60.517664075,4.0373409025
270.242253,60.511902925,3.6800521006
290.575105,60.499315391,3.291737409
312.437787,60.504953912,3.0798726514
335.945403,60.515424889,2.4465461553
361.221717,60.542147602,2.2626092288
388.399805,60.538215859,1.8063126755
417.622754,60.53757734,1.4945384585
449.044419,60.525118797,1.2852357
482.830229,60.529862231,0.93093802368
519.158062,60.538712227,0.59656251285
558.219178,60.532011501,0.24441323304
600.219227,60.539062915,-0.15891476329
645.379332,60.532559232,-0.27876066906
693.937253,60.532076355,-0.68333251934
746.148642,60.523804911,-1.16007292
802.288381,60.538591927,-1.256208579
862.652038,60.535522798,-1.5676813695
927.557418,60.540393555,-1.9207295455
997.346235,60.533033931,-2.3197502426
1072.385919,60.521587771,-2.6235142671
1153.071539,60.527580029,-3.0968539581
1239.827893,60.53804192,-3.4639057751
1333.111739,60.521557249,-3.8361908472
1433.414201,60.533856554,-4.3333464765
1541.263354,60.521117703,-4.7074423714
1657.227009,60.519540085,-5.1622362347
1781.915693,60.536873237,-5.6280958456
1915.985873,60.510489896,-6.2363250108
2060.143406,60.520242238,-6.8530887841
2215.147258,60.527661511,-7.4588384547
2381.8135,60.54123144,-8.0268376512
2561.019601,60.543593466,-8.8465506636
2753.709054,60.510575154,-9.4341396724
2960.896335,60.541895194,-10.245951867
3183.672253,60.540813887,-11.08064761
3423.209687,60.505053408,-12.033593019
3680.769761,60.556391777,-12.875938674
3957.708488,60.567138438,-14.151342927
4255.483905,60.577076633,-15.142757947
4575.663752,60.525979755,-16.402743989
4919.933722,60.545114497,-17.589040982
5290.106341,60.552547481,-18.878502305
5688.130508,60.544060861,-20.403946033
6116.101754,60.547463706,-21.922105754
6576.27328,60.52993468,-23.604338926
7071.067812,60.542075533,-25.605446161
7603.090363,60.527539161,-27.49499475
8175.141946,60.534669629,-29.597202174
8790.234319,60.537759372,-32.047381593
9451.605842,60.53762528,-34.348963926
10162.73853,60.551812168,-37.01003472
10927.376379,60.512442476,-39.924697514
11749.545084,60.509629372,-43.174010081
12633.573228,60.506442184,-46.547588733
13584.115076,60.486427531,-50.308646248
14606.175075,60.485442082,-54.762407152
15705.134205,60.420335169,-59.231279125
16886.778307,60.39410771,-64.041744343
18157.328544,60.343269395,-69.655882512
19523.474155,60.248442274,-75.697182911
20992.407676,60.197645314,-82.393418499
22571.862801,59.987519148,-89.710142378
24270.155104,59.709560206,-97.975831291
26096.225818,59.357201713,-106.59392806
28059.688906,58.825870791,-116.11287742
30170.881683,58.180272956,-125.96541954
32440.919233,57.27712154,-136.10446013
34881.752935,56.282226509,-146.13333951
37506.233381,55.015174625,-156.08946859
40328.178031,53.595880693,-165.59525332
43362.443964,52.142344252,-174.02072808
46625.006097,50.446367068,177.86267876
50133.041286,48.791581834,170.30023265
53905.018765,47.037202932,163.77899422
57960.797381,45.262729728,157.76047506
62321.730148,43.444462108,152.2967936
67010.776664,41.593212269,147.02108355
72052.623996,39.75959036,142.30848549
77473.816648,37.900265251,138.25253748
83302.896316,36.043371467,133.92296941
89570.552153,34.147622265,130.22295045
96309.782347,32.321245153,126.63726822
103556.06785,30.39734743,123.55394965
111347.55916,28.618469988,120.38834114
119725.27722,26.711285287,117.87122511
