Frequency (Hz),Magnitude (dB),Phase (°)
265914.79485,35.84361126,125.61666503
285922.05138,33.953889207,121.36934991
307434.6409,32.081117211,117.45183676
330565.82369,30.177480414,113.34105167
355437.38166,28.290291994,109.56610972
382180.2595,26.409543425,105.76478071
410935.25411,24.578804911,102.60716447
441853.75584,22.688555125,98.733582895
475098.54558,20.748230131,95.284771046
510844.65171,18.931333513,92.108765962
549280.27165,17.072937846,88.273301394
590607.76269,15.101982288,85.359977966
635044.70733,13.309999041,81.294099839
682825.05883,11.344254113,77.85431965
734200.37296,9.513623289,74.611873122
789441.13237,7.5207257416,70.598543201
848838.17065,5.5596543321,68.512796274
912704.20354,3.6074535064,63.351866342
981375.47527,1.8410357902,60.541889997
1055213.5289,-0.17965285185,54.507501275
1134607.1098,-1.5309011488,48.701426353
1219974.2121,-3.5981193032,42.039755381
1311764.2798,-5.9288736048,36.724524147
1410460.5726,-7.8103434539,30.236624821
1516582.7104,-9.7114383564,27.187734869
1630689.409,-11.448784974,16.214561701
1753381.4214,-12.739446806,9.4374917
1885304.7013,-16.62824482,15.100687978
2027153.803,-17.785434948,0.94210928916
2179675.5391,-17.496307596,0.9396352056
2343672.9116,-20.271099222,-3.9457842759
2520009.3399,-19.486329921,-7.426662336
2709613.2066,-21.649543463,-13.352913889
2913482.7452,-21.045127231,-44.967224874
3132691.2955,-21.767741528,-48.249979809
3368392.9548,-26.503787596,0.32091104662
3621828.6539,-25.559192617,-40.488230473
3894332.6905,-31.049070943,-24.194720309
4187339.7539,-26.827339245,-38.830953424
4502392.4785,-26.039950734,-88.89369706
4841149.5655,-33.931816134,-102.02006045
5205394.5159,-29.174828365,-63.997186006
5597045.0199,-29.120668827,-125.54887929
6018163.0535,-23.698820717,-103.90074827
6470965.7346,-29.676266137,-77.368216807
6957836.9955,-29.540841096,-110.30924202
7481340.1339,-30.905594565,-48.377955285
8044231.3086,-31.169630335,-43.874922463
8649474.0498,-28.366169289,-162.96899036
9300254.862,-36.629127789,82.567097732
10000000.0,-40.019804252,-152.76119142
5.0,47.443365884,-160.42633264
5.376197,48.953869876,-170.17906851
5.780698,50.319009284,179.9444096
6.215634,51.466066053,170.74097875
6.683295,52.511072527,161.5315349
7.186141,53.512895278,151.92546689
7.726822,54.326165942,143.23934036
8.308183,55.094634303,134.49529457
8.933285,55.755037134,126.25139476
9.60542,56.313403443,118.51319863
10.328125,56.813790478,110.94856193
11.105207,57.274313572,104.01011892
11.940755,57.650587278,97.373452184
12.83917,58.001878703,91.112760279
13.805181,58.308064868,85.361688327
14.843874,58.567968377,79.600294372
15.960717,58.799213413,74.319652325
17.161591,59.018763834,69.523124988
18.452818,59.189377687,64.971851878
19.841196,59.359446899,60.51717681
21.334035,59.495425163,56.399599937
22.939194,59.632382469,52.662126985
24.665124,59.722612629,49.14397915
26.520912,59.834723495,45.884835456
28.516328,59.885235475,42.684144862
30.661878,59.994567823,39.974961372
32.968858,60.03942036,36.960076675
35.449413,60.093555504,34.551082348
38.116604,60.153225822,32.154394322
40.984473,60.18956668,29.941247206
44.068118,60.233254497,27.978516041
47.383775,60.299987574,26.007236828
50.948899,60.296384722,24.086767482
54.782261,60.319810039,22.520390341
58.904043,60.354939241,20.917016834
63.335945,60.374485537,19.441195332
68.1013,60.392095361,18.106216062
73.225198,60.392834118,16.727844302
78.734614,60.402854365,15.679396228
84.658555,60.432660801,14.41957994
91.02821,60.43759902,13.347498501
97.877114,60.462905888,12.424369981
105.241324,60.437613097,11.554831383
113.159613,60.459022265,10.729192859
121.673669,60.454482683,10.049217631
130.828317,60.493406107,9.1367822343
140.671754,60.477549241,8.3217361378
151.255806,60.485700131,7.5730159342
162.636194,60.501385344,7.1642283066
174.872836,60.483679508,6.450600539
188.030155,60.509656515,5.9272098376
202.177421,60.519895946,5.5384359203
217.389119,60.506917281,4.9404188447
233.745336,60.492066703,4.419606824
251.332183,60.507356328,4.1950660656
270.242253,60.505081049,3.6129202186
290.575105,60.528833557,3.3160729382
312.437787,60.512318877,2.9008838234
335.945403,60.507456984,2.4734491774
361.221717,60.506753838,2.1808098229
388.399805,60.511045291,1.7455846984
417.622754,60.508194852,1.4634170878
449.044419,60.517715485,1.2526799926
482.830229,60.513753236,0.68028070348
519.158062,60.512175636,0.56216395179
558.219178,60.52880275,0.18741995141
600.219227,60.506245561,-0.14745844486
645.379332,60.519042672,-0.28802546037
693.937253,60.50887831,-0.72604724464
746.148642,60.506187651,-0.9998837206
802.288381,60.5222085,-1.3506331183
862.652038,60.505943038,-1.7444526588
927.557418,60.52387972,-2.1619352785
997.346235,60.515082713,-2.3489008141
1072.385919,60.514595906,-2.7388452452
1153.071539,60.522792462,-3.1635817841
1239.827893,60.511059336,-3.4476732801
1333.111739,60.529431323,-3.9033478421
1433.414201,60.528495328,-4.3765056191
1541.263354,60.520257454,-4.9008249246
1657.227009,60.529312111,-5.3478709854
1781.915693,60.516966767,-5.8261280122
1915.985873,60.515421151,-6.463603525
2060.143406,60.52413011,-6.9155115884
2215.147258,60.529895777,-7.5368898949
2381.8135,60.536439415,-8.2090161399
2561.019601,60.522741325,-8.900353817
2753.709054,60.521689484,-9.5840087786
2960.896335,60.514023576,-10.551157035
3183.672253,60.490794147,-11.134551177
3423.209687,60.515597825,-12.271975977
3680.769761,60.53877167,-13.107559563
3957.708488,60.526422991,-14.222821291
4255.483905,60.552113573,-15.510616397
4575.663752,60.503685782,-16.682398747
4919.933722,60.497984101,-17.85275018
5290.106341,60.508420604,-19.189257375
5688.130508,60.488101598,-20.87063038
6116.101754,60.541194581,-22.28732272
6576.27328,60.501263155,-24.129192468
7071.067812,60.495107542,-25.912350201
7603.090363,60.515286284,-27.842333491
8175.141946,60.509999839,-29.917240951
8790.234319,60.48865453,-32.165103751
9451.605842,60.455242511,-35.027089376
10162.73853,60.439434925,-37.593414081
10927.376379,60.473602443,-40.653153274
11749.545084,60.401357191,-43.629149994
12633.573228,60.453161961,-47.401464544
13584.115076,60.431477384,-50.977707433
14606.175075,60.369694262,-55.149479796
15705.134205,60.342993694,-59.683571488
16886.778307,60.305693431,-64.523194001
18157.328544,60.238848508,-70.080919041
19523.474155,60.115591818,-76.207343937
20992.407676,60.013128522,-82.583061956
22571.862801,59.818910035,-89.941453969
24270.155104,59.551175957,-97.771787308
26096.225818,59.209217438,-106.49306848
28059.688906,58.688628142,-115.80676177
